brand,cep_category,hits,N_b,coverage,ci_low,ci_high,languages
b0074bw614,en,3,30,0.1,0.03459988874733419,0.25621082579184085,['en']
b007pa1k84,en,12,31,0.3870967741935484,0.23733101420380254,0.5617589138033927,['en']
b007pa1k84,en,5,31,0.16129032258064516,0.070926244433653,0.3263435395879326,['en']
b007pa1k84,en,3,31,0.0967741935483871,0.033464644163197374,0.24899938443392833,['en']
b007pa1k84,en,1,31,0.03225806451612903,0.005717221525416816,0.16194105164724906,['en']
b007pa1k84,en,1,31,0.03225806451612903,0.005717221525416816,0.16194105164724906,['en']
b007t36s34,en,5,21,0.23809523809523808,0.10628013022636465,0.4509117368295076,['en']
b007t36s34,en,3,21,0.14285714285714285,0.04981012499725268,0.34636060280620945,['en']
b007t36s34,en,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,['en']
b007t36s34,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b007tnuula,en,5,22,0.22727272727272727,0.10123039985248516,0.4343995317522171,['en']
b007tnuula,en,1,22,0.045454545454545456,0.00806942762126385,0.21798045838657332,['en']
b008jk6w5k,en,2,28,0.07142857142857142,0.01981206411530574,0.22645362568399052,['en']
b008jk6w5k,en,1,28,0.03571428571428571,0.0063325198490377654,0.17712197743353317,['en']
b0094bb4tw,en,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,['en']
b009hkl4b8,en,1,28,0.03571428571428571,0.0063325198490377654,0.17712197743353317,['en']
b009hkl4b8,en,1,28,0.03571428571428571,0.0063325198490377654,0.17712197743353317,['en']
b009hkl4b8,en,1,28,0.03571428571428571,0.0063325198490377654,0.17712197743353317,['en']
b009hkl4b8,en,3,28,0.10714285714285714,0.03711836682929999,0.27195851548672156,['en']
b009ux2yac,en,3,55,0.05454545454545454,0.01872321555468448,0.14853060544053792,['en']
b009ux2yac,en,3,55,0.05454545454545454,0.01872321555468448,0.14853060544053792,['en']
b009ux2yac,en,6,55,0.10909090909090909,0.05096725000782336,0.21825549086553508,['en']
b00ahboms8,en,11,43,0.2558139534883721,0.14929517123808245,0.40238403498846675,['en']
b00b2v66vs,en,2,23,0.08695652173913043,0.024180004484220363,0.26795981075743663,['en']
b00b2v66vs,en,2,23,0.08695652173913043,0.024180004484220363,0.26795981075743663,['en']
b00e8klwb4,en,2,23,0.08695652173913043,0.024180004484220363,0.26795981075743663,['en']
b00e8klwb4,en,1,23,0.043478260869565216,0.007716666143453149,0.20991155070258877,['en']
b00g5lq5mu,en,7,36,0.19444444444444445,0.09753095418928728,0.3502804299517739,['en']
b00g5lq5mu,en,2,36,0.05555555555555555,0.015369986664161853,0.18144657208647252,['en']
b00i8q77y0,en,3,30,0.1,0.03459988874733419,0.25621082579184085,['en']
0439023483,en,7,20,0.35,0.1811918241010821,0.5671457233147637,['en']
0439023483,en,1,20,0.05,0.008881448800795402,0.23613119344674205,['en']
0439023521,en,7,20,0.35,0.1811918241010821,0.5671457233147637,['en']
0439023521,en,1,20,0.05,0.008881448800795402,0.23613119344674205,['en']
1491510706,en,10,21,0.47619047619047616,0.2834400610153417,0.6763046541715557,['en']
1491510706,en,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,['en']
1491510706,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b004llilbo,en,12,26,0.46153846153846156,0.2875585353039122,0.6454206125314121,['en']
b004llilbo,en,3,26,0.11538461538461539,0.04003244623610615,0.2897590321171364,['en']
b004llilbo,en,1,26,0.038461538461538464,0.006821984993543487,0.18892778903034757,['en']
b004llilby,en,12,27,0.4444444444444444,0.27585858177023004,0.6268697548677552,['en']
b004llilby,en,3,27,0.1111111111111111,0.038520348283098374,0.2805780081827982,['en']
b004llilby,en,1,27,0.037037037037037035,0.006568145980785103,0.18283465933575843,['en']
b005suhpo6,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b005suhpo6,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b005suhpo6,en,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,['en']
b005suhpve,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b005suhpve,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b005suhpve,en,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,['en']
b005suhq3q,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b005suhq3q,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b005suhq3q,en,4,21,0.19047619047619047,0.07667565052761793,0.40000564690204926,['en']
b005suhq86,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
b005suhq86,en,1,21,0.047619047619047616,0.008455987809826399,0.22669360074122563,['en']
